index,unit1_rgb,unit1_beam
3532,../scenario23_dev/unit1/camera_data/image_BS1_3532_17_08_22.jpg,17
2224,../scenario23_dev/unit1/camera_data/image_BS1_2224_17_04_35.jpg,14
9416,../scenario23_dev/unit1/camera_data/image_BS1_10033_17_56_07.jpg,17
8510,../scenario23_dev/unit1/camera_data/image_BS1_9127_17_53_50.jpg,20
6877,../scenario23_dev/unit1/camera_data/image_BS1_7494_17_48_19.jpg,17
3825,../scenario23_dev/unit1/camera_data/image_BS1_3825_17_09_10.jpg,17
2258,../scenario23_dev/unit1/camera_data/image_BS1_2258_17_04_41.jpg,12
2121,../scenario23_dev/unit1/camera_data/image_BS1_2121_17_04_20.jpg,9
11282,../scenario23_dev/unit1/camera_data/image_BS1_11899_18_02_04.jpg,17
7593,../scenario23_dev/unit1/camera_data/image_BS1_8210_17_50_08.jpg,12
6383,../scenario23_dev/unit1/camera_data/image_BS1_7000_17_46_53.jpg,17
1623,../scenario23_dev/unit1/camera_data/image_BS1_1623_17_02_51.jpg,15
1514,../scenario23_dev/unit1/camera_data/image_BS1_1514_17_02_32.jpg,17
6526,../scenario23_dev/unit1/camera_data/image_BS1_7143_17_47_17.jpg,25
5105,../scenario23_dev/unit1/camera_data/image_BS1_5722_17_15_43.jpg,15
480,../scenario23_dev/unit1/camera_data/image_BS1_480_16_59_45.jpg,14
2765,../scenario23_dev/unit1/camera_data/image_BS1_2765_17_06_04.jpg,19
6392,../scenario23_dev/unit1/camera_data/image_BS1_7009_17_46_54.jpg,17
823,../scenario23_dev/unit1/camera_data/image_BS1_823_17_00_42.jpg,9
10448,../scenario23_dev/unit1/camera_data/image_BS1_11065_17_59_02.jpg,16
852,../scenario23_dev/unit1/camera_data/image_BS1_852_17_00_46.jpg,4
2647,../scenario23_dev/unit1/camera_data/image_BS1_2647_17_05_46.jpg,19
10261,../scenario23_dev/unit1/camera_data/image_BS1_10878_17_58_29.jpg,18
8816,../scenario23_dev/unit1/camera_data/image_BS1_9433_17_54_36.jpg,17
1841,../scenario23_dev/unit1/camera_data/image_BS1_1841_17_03_36.jpg,15
1807,../scenario23_dev/unit1/camera_data/image_BS1_1807_17_03_31.jpg,15
10479,../scenario23_dev/unit1/camera_data/image_BS1_11096_17_59_07.jpg,15
1061,../scenario23_dev/unit1/camera_data/image_BS1_1061_17_01_19.jpg,14
3359,../scenario23_dev/unit1/camera_data/image_BS1_3359_17_07_33.jpg,19
2402,../scenario23_dev/unit1/camera_data/image_BS1_2402_17_05_02.jpg,17
10170,../scenario23_dev/unit1/camera_data/image_BS1_10787_17_58_16.jpg,17
1140,../scenario23_dev/unit1/camera_data/image_BS1_1140_17_01_32.jpg,15
7201,../scenario23_dev/unit1/camera_data/image_BS1_7818_17_49_03.jpg,9
6149,../scenario23_dev/unit1/camera_data/image_BS1_6766_17_46_04.jpg,16
9818,../scenario23_dev/unit1/camera_data/image_BS1_10435_17_57_06.jpg,17
1309,../scenario23_dev/unit1/camera_data/image_BS1_1309_17_01_59.jpg,16
4372,../scenario23_dev/unit1/camera_data/image_BS1_4989_17_13_41.jpg,14
283,../scenario23_dev/unit1/camera_data/image_BS1_283_16_59_19.jpg,14
10749,../scenario23_dev/unit1/camera_data/image_BS1_11366_18_00_21.jpg,4
6620,../scenario23_dev/unit1/camera_data/image_BS1_7237_17_47_44.jpg,7
2978,../scenario23_dev/unit1/camera_data/image_BS1_2978_17_06_36.jpg,17
10650,../scenario23_dev/unit1/camera_data/image_BS1_11267_18_00_05.jpg,4
8688,../scenario23_dev/unit1/camera_data/image_BS1_9305_17_54_16.jpg,17
8425,../scenario23_dev/unit1/camera_data/image_BS1_9042_17_53_38.jpg,20
9946,../scenario23_dev/unit1/camera_data/image_BS1_10563_17_57_42.jpg,17
675,../scenario23_dev/unit1/camera_data/image_BS1_675_17_00_19.jpg,24
7438,../scenario23_dev/unit1/camera_data/image_BS1_8055_17_49_39.jpg,9
4518,../scenario23_dev/unit1/camera_data/image_BS1_5135_17_14_06.jpg,19
10271,../scenario23_dev/unit1/camera_data/image_BS1_10888_17_58_31.jpg,19
448,../scenario23_dev/unit1/camera_data/image_BS1_448_16_59_41.jpg,14
6305,../scenario23_dev/unit1/camera_data/image_BS1_6922_17_46_36.jpg,15
6528,../scenario23_dev/unit1/camera_data/image_BS1_7145_17_47_18.jpg,24
4380,../scenario23_dev/unit1/camera_data/image_BS1_4997_17_13_43.jpg,9
9907,../scenario23_dev/unit1/camera_data/image_BS1_10524_17_57_36.jpg,17
8150,../scenario23_dev/unit1/camera_data/image_BS1_8767_17_52_48.jpg,17
3726,../scenario23_dev/unit1/camera_data/image_BS1_3726_17_08_53.jpg,17
2909,../scenario23_dev/unit1/camera_data/image_BS1_2909_17_06_25.jpg,20
1433,../scenario23_dev/unit1/camera_data/image_BS1_1433_17_02_19.jpg,17
1308,../scenario23_dev/unit1/camera_data/image_BS1_1308_17_01_59.jpg,16
9275,../scenario23_dev/unit1/camera_data/image_BS1_9892_17_55_45.jpg,17
10054,../scenario23_dev/unit1/camera_data/image_BS1_10671_17_57_59.jpg,17
224,../scenario23_dev/unit1/camera_data/image_BS1_224_16_59_11.jpg,14
5845,../scenario23_dev/unit1/camera_data/image_BS1_6462_17_45_21.jpg,15
4153,../scenario23_dev/unit1/camera_data/image_BS1_4770_17_13_06.jpg,11
9651,../scenario23_dev/unit1/camera_data/image_BS1_10268_17_56_42.jpg,19
8254,../scenario23_dev/unit1/camera_data/image_BS1_8871_17_53_03.jpg,28
11049,../scenario23_dev/unit1/camera_data/image_BS1_11666_18_01_08.jpg,2
10194,../scenario23_dev/unit1/camera_data/image_BS1_10811_17_58_19.jpg,17
3072,../scenario23_dev/unit1/camera_data/image_BS1_3072_17_06_51.jpg,14
6576,../scenario23_dev/unit1/camera_data/image_BS1_7193_17_47_24.jpg,6
8318,../scenario23_dev/unit1/camera_data/image_BS1_8935_17_53_12.jpg,20
8798,../scenario23_dev/unit1/camera_data/image_BS1_9415_17_54_33.jpg,17
3292,../scenario23_dev/unit1/camera_data/image_BS1_3292_17_07_23.jpg,15
8632,../scenario23_dev/unit1/camera_data/image_BS1_9249_17_54_08.jpg,15
6050,../scenario23_dev/unit1/camera_data/image_BS1_6667_17_45_50.jpg,17
8353,../scenario23_dev/unit1/camera_data/image_BS1_8970_17_53_18.jpg,17
764,../scenario23_dev/unit1/camera_data/image_BS1_764_17_00_33.jpg,27
2231,../scenario23_dev/unit1/camera_data/image_BS1_2231_17_04_36.jpg,12
7584,../scenario23_dev/unit1/camera_data/image_BS1_8201_17_50_07.jpg,12
6574,../scenario23_dev/unit1/camera_data/image_BS1_7191_17_47_24.jpg,6
9759,../scenario23_dev/unit1/camera_data/image_BS1_10376_17_56_58.jpg,17
5962,../scenario23_dev/unit1/camera_data/image_BS1_6579_17_45_38.jpg,15
8790,../scenario23_dev/unit1/camera_data/image_BS1_9407_17_54_32.jpg,17
8952,../scenario23_dev/unit1/camera_data/image_BS1_9569_17_54_56.jpg,17
624,../scenario23_dev/unit1/camera_data/image_BS1_624_17_00_07.jpg,15
7843,../scenario23_dev/unit1/camera_data/image_BS1_8460_17_50_52.jpg,24
1798,../scenario23_dev/unit1/camera_data/image_BS1_1798_17_03_30.jpg,16
1298,../scenario23_dev/unit1/camera_data/image_BS1_1298_17_01_58.jpg,16
2621,../scenario23_dev/unit1/camera_data/image_BS1_2621_17_05_40.jpg,17
10840,../scenario23_dev/unit1/camera_data/image_BS1_11457_18_00_35.jpg,2
10211,../scenario23_dev/unit1/camera_data/image_BS1_10828_17_58_22.jpg,17
4778,../scenario23_dev/unit1/camera_data/image_BS1_5395_17_14_48.jpg,16
2334,../scenario23_dev/unit1/camera_data/image_BS1_2334_17_04_51.jpg,15
5901,../scenario23_dev/unit1/camera_data/image_BS1_6518_17_45_29.jpg,15
4703,../scenario23_dev/unit1/camera_data/image_BS1_5320_17_14_35.jpg,13
1481,../scenario23_dev/unit1/camera_data/image_BS1_1481_17_02_27.jpg,17
8179,../scenario23_dev/unit1/camera_data/image_BS1_8796_17_52_52.jpg,17
600,../scenario23_dev/unit1/camera_data/image_BS1_600_17_00_04.jpg,9
10536,../scenario23_dev/unit1/camera_data/image_BS1_11153_17_59_16.jpg,4
11321,../scenario23_dev/unit1/camera_data/image_BS1_11938_18_02_10.jpg,18
6370,../scenario23_dev/unit1/camera_data/image_BS1_6987_17_46_51.jpg,17
2966,../scenario23_dev/unit1/camera_data/image_BS1_2966_17_06_33.jpg,14
8508,../scenario23_dev/unit1/camera_data/image_BS1_9125_17_53_50.jpg,20
2707,../scenario23_dev/unit1/camera_data/image_BS1_2707_17_05_54.jpg,20
10834,../scenario23_dev/unit1/camera_data/image_BS1_11451_18_00_34.jpg,2
10511,../scenario23_dev/unit1/camera_data/image_BS1_11128_17_59_12.jpg,7
5167,../scenario23_dev/unit1/camera_data/image_BS1_5784_17_15_52.jpg,20
4265,../scenario23_dev/unit1/camera_data/image_BS1_4882_17_13_25.jpg,22
7095,../scenario23_dev/unit1/camera_data/image_BS1_7712_17_48_48.jpg,6
8284,../scenario23_dev/unit1/camera_data/image_BS1_8901_17_53_08.jpg,7
4141,../scenario23_dev/unit1/camera_data/image_BS1_4758_17_13_04.jpg,14
8348,../scenario23_dev/unit1/camera_data/image_BS1_8965_17_53_17.jpg,18
805,../scenario23_dev/unit1/camera_data/image_BS1_805_17_00_40.jpg,15
1357,../scenario23_dev/unit1/camera_data/image_BS1_1357_17_02_07.jpg,17
9710,../scenario23_dev/unit1/camera_data/image_BS1_10327_17_56_50.jpg,17
7295,../scenario23_dev/unit1/camera_data/image_BS1_7912_17_49_16.jpg,11
6181,../scenario23_dev/unit1/camera_data/image_BS1_6798_17_46_18.jpg,26
