index,unit2_pos,unit1_beam
3532,"[0.8092883966431671, 0.521083920903955]",17
2224,"[0.4816276084988933, 0.29434536152734486]",14
9416,"[0.220278556834608, 0.4136596156292844]",17
8510,"[0.21412273613497904, 0.4547214157104936]",20
6877,"[0.14500641727379412, 0.4097884695072434]",17
3825,"[0.7977135523091539, 0.48403152217535966]",17
2258,"[0.4869040262366073, 0.2697359325090161]",12
2121,"[0.5216523268543162, 0.09470482512290525]",9
11282,"[0.23147311879438842, 0.41352136041835863]",17
7593,"[0.22997575699756606, 0.3743951334079935]",12
6383,"[0.1921851975042103, 0.4151804230673512]",17
1623,"[0.5437324713648672, 0.349785704409312]",15
1514,"[0.49251319104966396, 0.4537536291947188]",17
6526,"[0.14141750249468701, 0.5062906124311253]",25
5105,"[0.24922755146058773, 0.3663763307027655]",15
480,"[0.3439178590136507, 0.3669293515661158]",14
2765,"[0.6016304606168267, 0.5562007465813533]",19
6392,"[0.2183771450309957, 0.4165629752551978]",17
823,"[0.35689499452981815, 0.20627678692182103]",9
10448,"[0.2535294956554945, 0.3998340937311713]",16
852,"[0.35722774160516085, 0.09083367896156977]",4
2647,"[0.634810096506266, 0.6014102032457496]",19
10261,"[0.35962827399645536, 0.45582745745684145]",18
8816,"[0.35454199743741377, 0.41559518871977574]",17
1841,"[0.4695061082783078, 0.35780450711454]",15
1807,"[0.4676759994230307, 0.4017696668020154]",15
10479,"[0.24737367495586554, 0.3898797179747464]",15
1061,"[0.40055616294635027, 0.35199778790200764]",14
3359,"[0.5440889860727671, 0.6272639291820573]",19
2402,"[0.41070494843187627, 0.42112539747116207]",17
10170,"[0.3644055711295992, 0.45762477533640705]",17
1140,"[0.25103389266641984, 0.39181529100629603]",15
7201,"[0.2637020487735776, 0.31231854000864495]",9
6149,"[0.27306650187808085, 0.4207106318383848]",16
9818,"[0.1979369681970493, 0.4309415180166612]",17
1309,"[0.38812568331675507, 0.41559518871977574]",16
4372,"[0.41659932500449764, 0.30913867000017453]",14
283,"[0.27175928125993093, 0.3771602377836867]",14
10749,"[0.25507439273431903, 0.20129959905343223]",4
6620,"[0.18581546797646384, 0.3090004147892488]",7
2978,"[0.6623092646343134, 0.46439928106471423]",17
10650,"[0.2555497456894441, 0.19770496335324275]",4
8688,"[0.21488330084966878, 0.4086824277608956]",17
8425,"[0.21778295384553337, 0.46149592147809526]",20
9946,"[0.317630840905973, 0.44822342042368524]",17
675,"[0.33464847649003965, 0.5170745195709882]",24
7438,"[0.2033084565325435, 0.357666251883967]",9
4518,"[0.34097067071889603, 0.45707175443376225]",19
10271,"[0.3593905975188928, 0.45762477533640705]",19
448,"[0.35865380045364814, 0.3800635973703056]",14
6305,"[0.197366544661032, 0.399281072867821]",15
6528,"[0.1402766554226524, 0.49868657539796907]",24
4380,"[0.4529162903504761, 0.20074657815078745]",9
9907,"[0.2874696962427356, 0.44780865475161347]",17
8150,"[0.23330322764966557, 0.411447532156236]",17
3726,"[0.7855207491571211, 0.4462878473528411]",17
2909,"[0.5106954413720982, 0.6627955205315275]",20
1433,"[0.4417454960232528, 0.4435227429575007]",17
