index,unit2_pos,unit1_beam
1,"[0.3195560203421424, 0.4874879026449761]",22
2,"[0.3176783761879752, 0.48679662657070005]",22
3,"[0.31603840851137044, 0.48610535045712955]",22
4,"[0.31458858201343814, 0.4854140743828535]",22
5,"[0.3123544231513711, 0.48444628784743143]",20
6,"[0.3115225555052341, 0.48403152217535966]",20
7,"[0.31092836430288384, 0.4836167565229351]",20
8,"[0.31016779958819407, 0.4833402461010836]",20
9,"[0.30905072016560453, 0.48347850131200937]",20
10,"[0.30817131720368957, 0.4836167565229351]",20
11,"[0.3075295907193371, 0.4836167565229351]",20
12,"[0.3071493083619922, 0.4836167565229351]",20
13,"[0.3070067024822099, 0.4836167565229351]",20
14,"[0.30712554071254716, 0.4836167565229351]",20
15,"[0.307482055420447, 0.48347850131200937]",20
16,"[0.308385226031807, 0.4833402461010836]",20
17,"[0.3114274849074539, 0.4830637356399376]",20
18,"[0.31420829965609326, 0.4827872251984388]",20
19,"[0.316751437944058, 0.48264896998751305]",20
20,"[0.3190568997544602, 0.4825107147765873]",20
21,"[0.321124685070412, 0.4825107147765873]",20
22,"[0.3229547939425771, 0.4825107147765873]",20
23,"[0.3237628939561569, 0.4823724595460143]",20
24,"[0.3236440557089317, 0.4825107147765873]",20
25,"[0.32340637923136917, 0.48264896998751305]",20
26,"[0.32307363217291435, 0.48264896998751305]",20
27,"[0.32262204686723434, 0.4825107147765873]",20
28,"[0.32209915863010713, 0.48223420433508857]",20
29,"[0.3214574321457547, 0.481957693913237]",19
30,"[0.3207206350636221, 0.48154292824116524]",19
31,"[0.32038788800516727, 0.480713396916669]",19
32,"[0.31962732329047755, 0.4794690999397481]",19
33,"[0.31891429385778997, 0.4782248029628273]",19
34,"[0.31827256739032544, 0.47698050600555375]",19
35,"[0.3176783761879752, 0.4757362090286329]",19
36,"[0.3171554879508479, 0.4744919120517121]",19
37,"[0.31670390264516796, 0.4733858703053643]",19
38,"[0.316299852638378, 0.4721415733480907]",19
39,"[0.31603840851137044, 0.47117378681266864]",19
40,"[0.31603840851137044, 0.47117378681266864]",19
41,"[0.3160859438102605, 0.4710355315820956]",19
42,"[0.31613347910915063, 0.4707590211602441]",19
43,"[0.3162285496900429, 0.4704825106990981]",19
44,"[0.31632362028782307, 0.47006774504667354]",19
45,"[0.3164662261676054, 0.4695147241833233]",19
46,"[0.31660883204738777, 0.46882344806975274]",19
47,"[0.31665636734627783, 0.4677174063234049]",18
48,"[0.31644245851816033, 0.4663348541355583]",19
49,"[0.3161810144080407, 0.4652288123892105]",18
50,"[0.3159195702810331, 0.4642610258537885]",18
51,"[0.3156105908551355, 0.4635697497402179]",18
52,"[0.31530161144612573, 0.4630167288768676]",18
53,"[0.3149450967382259, 0.4627402184157216]",18
54,"[0.31475495555955346, 0.4627402184157216]",18
55,"[0.314541046731436, 0.46287847366594187]",18
56,"[0.31435090555276357, 0.4630167288768676]",18
57,"[0.31418453200664825, 0.46315498410744066]",18
58,"[0.3140419261268659, 0.4632932393183664]",17
59,"[0.31392308789652856, 0.4632932393183664]",17
60,"[0.31382801729874843, 0.46343149452929217]",17
61,"[0.31375671435041325, 0.46343149452929217]",17
62,"[0.3137091790684111, 0.4635697497402179]",17
63,"[0.31385178494819344, 0.46550532281106205]",17
64,"[0.3140419261268659, 0.46785566153433067]",17
65,"[0.31427960260442844, 0.47089727637116985]",18
66,"[0.314541046731436, 0.47435365684078634]",18
67,"[0.3148500261404457, 0.47850131340432606]",18
68,"[0.31518277319890053, 0.4830637356399376]",18
69,"[0.31558682322257836, 0.4883174339694724]",19
70,"[0.3151114702674533, 0.4841697773862854]",19
71,"[0.31520654084834554, 0.4877644131061221]",19
72,"[0.31527784379668067, 0.489699986157319]",19
73,"[0.31527784379668067, 0.489699986157319]",19
74,"[0.31525407614723566, 0.4877644131061221]",19
75,"[0.31518277319890053, 0.48403152217535966]",19
76,"[0.3150639349685632, 0.4783630581934003]",19
77,"[0.31492132908878084, 0.4783630581934003]",19
78,"[0.31458858201343814, 0.4684086824369755]",19
79,"[0.31435090555276357, 0.45969860361817694]",18
80,"[0.31423206732242626, 0.45209456656537345]",18
81,"[0.31418453200664825, 0.4457348264894908]",17
82,"[0.31423206732242626, 0.440481128159956]",17
83,"[0.3143984408347657, 0.436333471576769]",17
84,"[0.3146598849617733, 0.4334301119901501]",17
85,"[0.3147787232089985, 0.43149453891930595]",17
86,"[0.3147787232089985, 0.4312180284778072]",17
87,"[0.3147074202606634, 0.43149453891930595]",17
88,"[0.314541046731436, 0.43204755980230347]",17
89,"[0.31430337025387345, 0.4330153463180783]",17
90,"[0.3139943908279758, 0.4342596432753519]",16
91,"[0.31359034082118586, 0.43605696113527026]",16
92,"[0.3130912202335037, 0.4382690446476131]",16
93,"[0.31356657317174086, 0.4356421954631985]",16
94,"[0.31332889671106623, 0.43619521636584324]",17
95,"[0.3130912202335037, 0.43647172678769475]",17
96,"[0.31282977610649615, 0.436609982037915]",16
97,"[0.31254456434693145, 0.436609982037915]",16
98,"[0.3122593525704788, 0.436333471576769]",17
99,"[0.3119503731445812, 0.4359187059243445]",16
100,"[0.3113561819591188, 0.43578045067412424]",16
101,"[0.31071445547476634, 0.4359187059243445]",16
102,"[0.3099538907600766, 0.43619521636584324]",16
103,"[0.3090744878150496, 0.436333471576769]",16
104,"[0.3081000142553544, 0.436609982037915]",17
105,"[0.3070067024822099, 0.43674823724884076]",17
106,"[0.3057945524618401, 0.4368864924597665]",17
107,"[0.3044873318436902, 0.4370247476706923]",16
108,"[0.3032514141738754, 0.4371630028816181]",17
109,"[0.30225317298162313, 0.43730125811219106]",17
110,"[0.30142130531859823, 0.43730125811219106]",17
111,"[0.3007795788342458, 0.4374395133231168]",17
112,"[0.30028045824656363, 0.4374395133231168]",17
113,"[0.299995246470111, 0.4375777685733371]",17
114,"[0.2998526405903286, 0.4375777685733371]",17
115,"[0.2999001758723308, 0.43771602378426283]",17
116,"[0.2998526405903286, 0.43771602378426283]",17
117,"[0.2997813376419935, 0.4382690446476131]",17
118,"[0.2996387317622112, 0.4389603207611837]",17
119,"[0.29942482293409367, 0.43992810725731124]",17
120,"[0.29913961115764104, 0.44117240423423204]",17
121,"[0.2987830964497412, 0.44269321165265163]",17
122,"[0.2983790464429513, 0.444352274281997]",17
123,"[0.2984741170238436, 0.4433844877662222]",17
124,"[0.2981651376148338, 0.44476703995406874]",17
125,"[0.297808622906934, 0.44753214432976196]",17
126,"[0.297333269951809, 0.45140329045180294]",17
127,"[0.2968103817146817, 0.45679524401191074]",17
128,"[0.2961924228797743, 0.4632932393183664]",17
129,"[0.29547939344708674, 0.47117378681266864]",17
130,"[0.29469506108295196, 0.48029863126424444]",18
131,"[0.29547939344708674, 0.4704825106990981]",18
132,"[0.2953367875673044, 0.4757362090286329]",18
133,"[0.29517041403807703, 0.4800221208030984]",18
134,"[0.2950040404919617, 0.4830637356399376]",19
135,"[0.2948138993132893, 0.484861053499856]",19
136,"[0.29462375813461683, 0.48569058482435223]",19
137,"[0.2944336169559444, 0.48527581917192775]",19
138,"[0.29424347577727195, 0.4836167565229351]",19
139,"[0.2936730522412546, 0.47504493295435685]",19
140,"[0.2932690022344647, 0.46965297937460176]",19
141,"[0.29296002280856703, 0.46384626020136394]",18
142,"[0.2926985786984474, 0.45790128575825856]",17
143,"[0.29253220516922, 0.45140329045180294]",17
144,"[0.29241336692199477, 0.444628784743143]",17
145,"[0.29238959927254976, 0.4375777685733371]",17
146,"[0.29255597280177714, 0.4262408405701239]",17
147,"[0.2928411845782298, 0.4215401631235866]",17
148,"[0.2929124875265649, 0.4186368035369677]",16
149,"[0.29279364927933965, 0.41725425132947386]",16
150,"[0.29248466987032995, 0.4175307617906199]",16
151,"[0.2919855492657598, 0.419466334861464]",16
152,"[0.2912962874994052, 0.4230609705616534]",16
153,"[0.2917003375061951, 0.41974284526366823]",16
154,"[0.29082093454428015, 0.4207106318383848]",16
155,"[0.2900366021801454, 0.4215401631235866]",16
156,"[0.2893948756957929, 0.4223696944480829]",16
157,"[0.28884821980922065, 0.42319922577257924]",16
158,"[0.28844416980243076, 0.4238905018468552]",15
159,"[0.28815895802597813, 0.42472003317135154]",15
160,"[0.288111422727088, 0.4251347988237761]",15
161,"[0.28732709036295323, 0.43025024194238515]",16
162,"[0.28666159622915577, 0.4356421954631985]",16
163,"[0.2861387079920285, 0.44089589383202776]",16
164,"[0.28571089033579355, 0.44614959214191535]",16
165,"[0.2854019109098959, 0.4515415456627287]",17
166,"[0.2852117697312235, 0.4569334992228365]",17
167,"[0.2851404667997763, 0.46232545276329706]",17
168,"[0.2851642344492213, 0.45914558275482664]",17
169,"[0.28502162855255103, 0.4642610258537885]",17
170,"[0.2849265579716588, 0.4692382137221773]",18
171,"[0.28487902267276866, 0.4740771464189348]",18
172,"[0.28487902267276866, 0.4786395686152518]",18
173,"[0.2849027903222137, 0.4830637356399376]",19
174,"[0.28497409327054884, 0.4872113922231246]",19
175,"[0.28509293150088616, 0.49122079359538584]",19
176,"[0.2852117697312235, 0.4955067053502041]",19
177,"[0.2856395873874584, 0.5036637633056523]",19
178,"[0.2860674050436934, 0.5112678003388086]",19
179,"[0.28649522269992833, 0.5183188165086144]",20
180,"[0.28692304035616334, 0.5248168118150701]",20
181,"[0.2873508580123983, 0.5306235310276025]",20
182,"[0.2878024433180783, 0.5358772293571373]",20
183,"[0.2872082521326159, 0.5303470205861037]",20
184,"[0.2874696962427356, 0.5333886354229429]",20
185,"[0.28739839331128836, 0.5339416562862932]",20
186,"[0.28694680800560834, 0.5322825936765951]",20
187,"[0.28616247564147357, 0.5281349370934081]",20
188,"[0.28502162855255103, 0.5216369418065997]",20
189,"[0.2835242667726166, 0.512788607737581]",20
190,"[0.28195560202745906, 0.5032489976335806]",20
191,"[0.28086229025431453, 0.4959214710026286]",20
192,"[0.27998288729239956, 0.48817917875854666]",20
193,"[0.2793173931586021, 0.4798838656118199]",20
194,"[0.27884204022036496, 0.47117378681266864]",19
195,"[0.27855682844391233, 0.46204894234144556]",19
196,"[0.2784855254955772, 0.4525093322374452]",19
197,"[0.27862813139224746, 0.4424167012308001]",19
198,"[0.2784855254955772, 0.44061938337088175]",18
199,"[0.27862813139224746, 0.43149453891930595]",17
200,"[0.27884204022036496, 0.423337480983505]",17
201,"[0.27907971668103954, 0.41587169914162725]",17
202,"[0.27936492845749217, 0.40937370383517163]",16
203,"[0.27969767551594693, 0.4037052398728595]",15
204,"[0.28007795789017975, 0.3988663071957492]",15
205,"[0.28050577552952677, 0.394995161054061]",15
206,"[0.28107619908243203, 0.3902944836075237]",15
207,"[0.28098112848465184, 0.3875293792514778]",15
208,"[0.2807196843576443, 0.38490253006706315]",15
209,"[0.28029186671829726, 0.382828701765646]",15
210,"[0.279721443165392, 0.3810313839450222]",14
211,"[0.2789608784507022, 0.37964883175717556]",14
212,"[0.27805770783934225, 0.378681045182459]",14
213,"[0.2770119313650878, 0.37798976910818294]",14
214,"[0.27715453724487016, 0.377713258647037]",14
215,"[0.27641774017962545, 0.37729849299461243]",14
216,"[0.27575224604582793, 0.3768837273618351]",14
217,"[0.27520559014236773, 0.3766072169203364]",14
218,"[0.27475400485357565, 0.37646896170941063]",14
219,"[0.2743737224962308, 0.37646896170941063]",14
220,"[0.2740885107197782, 0.37646896170941063]",14
221,"[0.27396967247255294, 0.3759159408067658]",14
222,"[0.27358939011520805, 0.3753629199630628]",14
223,"[0.27318534010841816, 0.3716300290519476]",14
224,"[0.2728050577510733, 0.36499377849527165]",14
225,"[0.2724247753937284, 0.35545416839127136]",14
226,"[0.27206826068582857, 0.3427346882198588]",14
227,"[0.27168797832848374, 0.3271118484618274]",14
228,"[0.271331463603696, 0.30844739388660397]",14
229,"[0.2721157959847187, 0.34149039126258524]",13
230,"[0.2720207253869385, 0.33319507809621124]",12
